Date,Time,Date_Time,pp_CO2
4/4/2018,21:05:00,4/4/2018 21:05,1098.692703
4/4/2018,22:05:00,4/4/2018 22:05,1093.597791
4/4/2018,23:05:00,4/4/2018 23:05,1085.465262
4/5/2018,0:05:00,4/5/2018 0:05,1081.439829
4/5/2018,1:05:00,4/5/2018 1:05,1081.450698
4/5/2018,2:05:00,4/5/2018 2:05,1081.154471
4/5/2018,3:05:00,4/5/2018 3:05,1081.489245
4/5/2018,4:05:00,4/5/2018 4:05,1084.383188
4/5/2018,5:05:00,4/5/2018 5:05,1087.403599
4/5/2018,6:05:00,4/5/2018 6:05,1089.956605
4/5/2018,7:05:00,4/5/2018 7:05,1092.277166
4/5/2018,8:05:00,4/5/2018 8:05,1091.781969
4/5/2018,9:05:00,4/5/2018 9:05,1077.620792
4/5/2018,10:05:00,4/5/2018 10:05,1060.952304
4/5/2018,11:05:00,4/5/2018 11:05,1057.520903
4/5/2018,12:05:00,4/5/2018 12:05,1056.716822
4/5/2018,13:05:00,4/5/2018 13:05,1057.367768
4/5/2018,14:05:00,4/5/2018 14:05,1057.041076
4/5/2018,15:05:00,4/5/2018 15:05,1058.852204
4/5/2018,16:05:00,4/5/2018 16:05,1059.995022
4/5/2018,17:05:00,4/5/2018 17:05,1062.004345
4/5/2018,18:05:00,4/5/2018 18:05,1065.122365
4/5/2018,19:05:00,4/5/2018 19:05,1068.090532
4/5/2018,20:05:00,4/5/2018 20:05,1069.423654
4/5/2018,21:05:00,4/5/2018 21:05,1061.386897
4/5/2018,22:05:00,4/5/2018 22:05,1049.86037
4/5/2018,23:05:00,4/5/2018 23:05,1048.538715
4/6/2018,0:05:00,4/6/2018 0:05,1049.172492
4/6/2018,1:05:00,4/6/2018 1:05,1050.432567
4/6/2018,2:05:00,4/6/2018 2:05,1050.431814
4/6/2018,3:05:00,4/6/2018 3:05,1050.310541
4/6/2018,4:05:00,4/6/2018 4:05,1052.269913
4/6/2018,5:05:00,4/6/2018 5:05,1053.776656
4/6/2018,6:05:00,4/6/2018 6:05,1056.211373
4/6/2018,7:05:00,4/6/2018 7:05,1059.324191
4/6/2018,8:05:00,4/6/2018 8:05,1100.229792
4/6/2018,9:05:00,4/6/2018 9:05,1103.997711
4/6/2018,10:05:00,4/6/2018 10:05,1102.290923
4/6/2018,11:05:00,4/6/2018 11:05,1096.964392
4/6/2018,12:05:00,4/6/2018 12:05,1094.061028
4/6/2018,13:05:00,4/6/2018 13:05,1091.52331
4/6/2018,14:05:00,4/6/2018 14:05,1090.010066
4/6/2018,15:05:00,4/6/2018 15:05,1091.546083
4/6/2018,16:05:00,4/6/2018 16:05,1092.92971
4/6/2018,17:05:00,4/6/2018 17:05,1095.322391
4/6/2018,18:05:00,4/6/2018 18:05,1097.223921
4/6/2018,19:05:00,4/6/2018 19:05,1098.078348
4/6/2018,20:05:00,4/6/2018 20:05,1094.832283
4/6/2018,21:05:00,4/6/2018 21:05,1081.894511
4/6/2018,22:05:00,4/6/2018 22:05,1072.591783
4/6/2018,23:05:00,4/6/2018 23:05,1065.978992
4/7/2018,0:05:00,4/7/2018 0:05,1063.225885
4/7/2018,1:05:00,4/7/2018 1:05,1062.569389
4/7/2018,2:05:00,4/7/2018 2:05,1062.212085
4/7/2018,3:05:00,4/7/2018 3:05,1062.855006
4/7/2018,4:05:00,4/7/2018 4:05,1062.567062
4/7/2018,5:05:00,4/7/2018 5:05,1060.941008
4/7/2018,6:05:00,4/7/2018 6:05,1060.642327
4/7/2018,7:05:00,4/7/2018 7:05,1060.478123
4/7/2018,8:05:00,4/7/2018 8:05,1060.1798
4/7/2018,9:05:00,4/7/2018 9:05,1053.148162
4/7/2018,10:05:00,4/7/2018 10:05,1046.492445
4/7/2018,11:05:00,4/7/2018 11:05,1057.595156
4/7/2018,12:05:00,4/7/2018 12:05,1063.101796
4/7/2018,13:05:00,4/7/2018 13:05,1063.745545
4/7/2018,14:05:00,4/7/2018 14:05,1065.882375
4/7/2018,15:05:00,4/7/2018 15:05,1065.251615
4/7/2018,16:05:00,4/7/2018 16:05,1064.757514
4/7/2018,17:05:00,4/7/2018 17:05,1064.12803
4/7/2018,18:05:00,4/7/2018 18:05,1062.679447
4/7/2018,19:05:00,4/7/2018 19:05,1062.227783
4/7/2018,20:05:00,4/7/2018 20:05,1061.408502
4/7/2018,21:05:00,4/7/2018 21:05,1060.46733
4/7/2018,22:05:00,4/7/2018 22:05,1052.197482
4/7/2018,23:05:00,4/7/2018 23:05,1047.468325
4/8/2018,0:05:00,4/8/2018 0:05,1047.919381
4/8/2018,1:05:00,4/8/2018 1:05,1048.240634
4/8/2018,2:05:00,4/8/2018 2:05,1049.498601
4/8/2018,3:05:00,4/8/2018 3:05,1050.981502
4/8/2018,4:05:00,4/8/2018 4:05,1050.980749
4/8/2018,5:05:00,4/8/2018 5:05,1051.131029
4/8/2018,6:05:00,4/8/2018 6:05,1048.720141
4/8/2018,7:05:00,4/8/2018 7:05,1043.888414
4/8/2018,8:05:00,4/8/2018 8:05,1041.520027
4/8/2018,9:05:00,4/8/2018 9:05,1039.773959
4/8/2018,10:05:00,4/8/2018 10:05,1035.332961
4/8/2018,11:05:00,4/8/2018 11:05,1036.600947
4/8/2018,12:05:00,4/8/2018 12:05,1036.124216
4/8/2018,13:05:00,4/8/2018 13:05,1044.556344
4/8/2018,14:05:00,4/8/2018 14:05,1048.391967
4/8/2018,15:05:00,4/8/2018 15:05,1050.003498
4/8/2018,16:05:00,4/8/2018 16:05,1050.48708
4/8/2018,17:05:00,4/8/2018 17:05,1050.647839
4/8/2018,18:05:00,4/8/2018 18:05,1050.062402
4/8/2018,19:05:00,4/8/2018 19:05,1046.208843
4/8/2018,20:05:00,4/8/2018 20:05,1042.852913
4/8/2018,21:05:00,4/8/2018 21:05,1041.414419
4/8/2018,22:05:00,4/8/2018 22:05,1037.569151
4/8/2018,23:05:00,4/8/2018 23:05,1036.307358
4/9/2018,0:05:00,4/9/2018 0:05,1033.623211
4/9/2018,1:05:00,4/9/2018 1:05,1030.632693
4/9/2018,2:05:00,4/9/2018 2:05,1031.41991
4/9/2018,3:05:00,4/9/2018 3:05,1030.158902
4/9/2018,5:05:00,4/9/2018 5:05,1051.840329
4/9/2018,6:05:00,4/9/2018 6:05,1052.008705
4/9/2018,7:05:00,4/9/2018 7:05,1046.863689
4/9/2018,8:05:00,4/9/2018 8:05,1041.441446
4/9/2018,9:05:00,4/9/2018 9:05,1038.292017
4/9/2018,10:05:00,4/9/2018 10:05,1031.970924
4/9/2018,11:05:00,4/9/2018 11:05,1030.87361
4/9/2018,12:05:00,4/9/2018 12:05,1028.809179
4/9/2018,13:05:00,4/9/2018 13:05,1030.853076
4/9/2018,14:05:00,4/9/2018 14:05,1031.323854
4/9/2018,15:05:00,4/9/2018 15:05,1029.606087
4/9/2018,16:05:00,4/9/2018 16:05,1028.859595
4/9/2018,17:05:00,4/9/2018 17:05,1028.899329
4/9/2018,18:05:00,4/9/2018 18:05,1027.145511
4/9/2018,19:05:00,4/9/2018 19:05,1027.151772
4/9/2018,20:05:00,4/9/2018 20:05,1026.251665
4/9/2018,21:05:00,4/9/2018 21:05,1027.354779
4/9/2018,22:05:00,4/9/2018 22:05,1028.459484
4/9/2018,23:05:00,4/9/2018 23:05,1029.367078
4/10/2018,0:05:00,4/10/2018 0:05,1029.654542
4/10/2018,1:05:00,4/10/2018 1:05,1030.132933
4/10/2018,2:05:00,4/10/2018 2:05,1031.399592
4/10/2018,3:05:00,4/10/2018 3:05,1031.405904
4/10/2018,4:05:00,4/10/2018 4:05,1030.790106
4/10/2018,5:05:00,4/10/2018 5:05,1031.733954
4/10/2018,6:05:00,4/10/2018 6:05,1033.943192
4/10/2018,7:05:00,4/10/2018 7:05,1035.691456
4/10/2018,8:05:00,4/10/2018 8:05,1038.388429
4/10/2018,9:05:00,4/10/2018 9:05,1040.00975
4/10/2018,10:05:00,4/10/2018 10:05,1040.494362
4/10/2018,11:05:00,4/10/2018 11:05,1032.403133
4/10/2018,12:05:00,4/10/2018 12:05,1035.872955
4/10/2018,13:05:00,4/10/2018 13:05,1039.980934
4/10/2018,14:05:00,4/10/2018 14:05,1044.604626
4/10/2018,15:05:00,4/10/2018 15:05,1048.489128
4/10/2018,16:05:00,4/10/2018 16:05,1050.743582
4/10/2018,17:05:00,4/10/2018 17:05,1052.164345
4/10/2018,18:05:00,4/10/2018 18:05,1053.01064
4/10/2018,19:05:00,4/10/2018 19:05,1054.008875
4/10/2018,20:05:00,4/10/2018 20:05,1054.675209
4/10/2018,21:05:00,4/10/2018 21:05,1054.863072
4/10/2018,22:05:00,4/10/2018 22:05,1054.412953
4/10/2018,23:05:00,4/10/2018 23:05,1048.10951
4/11/2018,0:05:00,4/11/2018 0:05,1046.559262
4/11/2018,1:05:00,4/11/2018 1:05,1040.462985
4/11/2018,2:05:00,4/11/2018 2:05,1039.968633
4/11/2018,3:05:00,4/11/2018 3:05,1044.11017
4/11/2018,4:05:00,4/11/2018 4:05,1046.321378
4/11/2018,5:05:00,4/11/2018 5:05,1045.534979
4/11/2018,6:05:00,4/11/2018 6:05,1047.298862
4/11/2018,7:05:00,4/11/2018 7:05,1048.110047
4/11/2018,8:05:00,4/11/2018 8:05,1048.308346
4/11/2018,9:05:00,4/11/2018 9:05,1049.301964
4/11/2018,10:05:00,4/11/2018 10:05,1047.547485
4/11/2018,11:05:00,4/11/2018 11:05,1046.620551
4/11/2018,12:05:00,4/11/2018 12:05,1044.582723
4/11/2018,13:05:00,4/11/2018 13:05,1032.824177
4/11/2018,14:05:00,4/11/2018 14:05,1039.4402
4/11/2018,15:05:00,4/11/2018 15:05,1041.478317
4/11/2018,16:05:00,4/11/2018 16:05,1041.325087
4/11/2018,17:05:00,4/11/2018 17:05,1040.383644
4/11/2018,18:05:00,4/11/2018 18:05,1038.510896
4/11/2018,19:05:00,4/11/2018 19:05,1037.563544
4/11/2018,20:05:00,4/11/2018 20:05,1034.416497
4/11/2018,21:05:00,4/11/2018 21:05,1032.401173
4/11/2018,22:05:00,4/11/2018 22:05,1029.927962
4/11/2018,23:05:00,4/11/2018 23:05,1027.578321
